County,Alcohol-Impaired Driving Deaths %,Adult Obesity %,Food Environment Index (0-10),Physically Inactive Adults %,Access to Exercise Opportunities %,Food Insecure %,Limited Access to Healthy Foods %,Insufficient Sleep % (Avg Hours < 7),Uninsured Adults % (Age < 65),Some College % (Adults 25-44),School Segregation Index,Unemployment % (Age >= 16),Median Household Income,Children Single-Parent Households %,Annual Average Violent Crimes,Severe Housing Problems %,Drive Alone to Work %,Drive Alone Long Commute % (Minutes > 30),Homeowners %,Broadband Internet Access %,High School Completion % (Adults >= 25),,,,
NV: Elko,31%,35%,8.5,27%,66%,10%,4%,38%,14%,53%,0.21,5.7%,"$73,900",20%,215,9%,65%,16%,69%,87%,87%,,,,
NV: Esmeralda,6%,37%,3.9,30%,5%,13%,44%,40%,19%,51%,0.32,5.2%,"$35,400",9%,1,5%,73%,13%,50%,62%,80%,,,,
NV: Eureka,30%,33%,8.1,26%,33%,11%,6%,37%,7%,39%,0.05,3.5%,"$68,800",8%,7,5%,50%,39%,73%,88%,95%,,,,
NV: Humboldt,35%,36%,8.3,28%,53%,10%,5%,38%,17%,50%,0.09,4.9%,"$72,900",15%,57,11%,61%,15%,69%,85%,84%,,,,
NV: Lander,22%,35%,8.7,28%,84%,9%,4%,39%,14%,56%,0.01,4.8%,"$80,900",37%,38,12%,62%,14%,76%,90%,86%,,,,
NV: Lincoln,19%,31%,7.3,24%,53%,11%,15%,37%,13%,44%,0.04,5.1%,"$60,200",30%,2,10%,72%,14%,73%,73%,87%,,,,
NV: Lyon,43%,36%,7.4,27%,54%,13%,10%,38%,15%,53%,0.04,8.5%,"$63,200",21%,142,12%,82%,43%,73%,88%,87%,,,,
NV: Mineral,9%,37%,4.6,29%,76%,15%,33%,40%,14%,42%,0.17,5.6%,"$50,100",50%,6,14%,78%,27%,73%,74%,89%,,,,
NV: Nye,29%,36%,4.3,29%,16%,16%,34%,39%,15%,48%,0.05,9.7%,"$52,800",27%,71,14%,77%,26%,72%,75%,86%,,,,
NV: Pershing,0%,34%,8.2,27%,23%,12%,4%,38%,15%,40%,0.03,4.9%,"$65,000",25%,49,13%,73%,31%,68%,80%,83%,,,,
NV: Storey,33%,29%,8.8,22%,17%,11%,0%,36%,9%,75%,0.05,8.3%,"$73,300",16%,36,8%,76%,51%,96%,86%,94%,,,,
NV: Washoe,37%,30%,8.0,21%,88%,11%,7%,35%,14%,64%,0.11,7.8%,"$75,200",24%,"1,962",18%,75%,24%,58%,87%,89%,,,,
NV: White Pine,29%,34%,7.4,27%,51%,12%,12%,38%,12%,40%,0.03,4.2%,"$57,900",11%,22,9%,78%,14%,72%,79%,88%,,,,
NH: Belknap,30%,30%,8.8,21%,65%,9%,2%,35%,10%,65%,0.05,6.9%,"$76,100",24%,145,15%,80%,40%,77%,86%,93%,,,,
NH: Carroll,19%,29%,9.0,22%,65%,9%,0%,34%,13%,70%,0.09,7.7%,"$73,100",25%,78,15%,78%,36%,79%,89%,95%,,,,
NH: Cheshire,38%,30%,8.6,22%,58%,10%,4%,33%,9%,67%,0.05,6.1%,"$66,400",18%,114,15%,77%,28%,68%,85%,93%,,,,
NH: Coos,42%,34%,7.9,27%,60%,12%,5%,39%,10%,51%,0.06,7.9%,"$49,500",17%,48,14%,77%,24%,72%,81%,88%,,,,
NH: Grafton,30%,27%,8.7,23%,78%,10%,3%,32%,11%,69%,0.10,5.8%,"$77,000",19%,140,13%,73%,32%,70%,84%,93%,,,,
NH: Hillsborough,34%,32%,8.8,22%,78%,9%,4%,36%,9%,72%,0.15,7.0%,"$79,200",20%,"1,088",15%,80%,39%,66%,90%,92%,,,,
NH: Merrimack,30%,30%,8.9,21%,77%,8%,3%,33%,9%,70%,0.11,5.8%,"$81,100",18%,208,14%,81%,40%,73%,88%,93%,,,,
NH: Rockingham,44%,27%,9.0,20%,77%,7%,5%,33%,7%,75%,0.05,7.1%,"$96,800",16%,346,13%,81%,46%,78%,92%,95%,,,,
NH: Strafford,28%,32%,8.5,23%,72%,9%,6%,35%,9%,72%,0.05,6.3%,"$72,800",20%,298,16%,78%,38%,67%,88%,93%,,,,
NH: Sullivan,14%,31%,8.0,24%,64%,10%,8%,32%,9%,57%,0.06,5.4%,"$65,900",18%,66,13%,83%,38%,73%,84%,91%,,,,
NJ: Atlantic,32%,30%,8.0,31%,86%,11%,8%,41%,13%,62%,0.18,17.8%,"$61,400",29%,"1,025",23%,76%,29%,67%,85%,88%,,,,
NJ: Bergen,16%,22%,9.5,25%,98%,7%,1%,36%,10%,80%,0.18,9.6%,"$107,100",15%,789,21%,66%,41%,65%,91%,93%,,,,
NJ: Burlington,20%,30%,9.1,25%,81%,7%,5%,37%,7%,73%,0.14,8.2%,"$92,500",22%,733,15%,81%,43%,75%,91%,94%,,,,
NJ: Camden,21%,29%,8.6,30%,84%,10%,4%,41%,10%,68%,0.25,10.1%,"$71,700",32%,"2,374",20%,74%,41%,66%,86%,89%,,,,
NJ: Cape May,32%,32%,7.8,25%,84%,11%,9%,39%,11%,66%,0.14,13.8%,"$75,800",22%,224,20%,79%,27%,78%,87%,93%,,,,
NJ: Cumberland,28%,40%,7.5,36%,69%,11%,12%,43%,15%,41%,0.16,10.8%,"$60,400",34%,807,23%,80%,32%,66%,82%,80%,,,,
NJ: Essex,16%,30%,8.7,30%,99%,11%,1%,41%,15%,64%,0.39,11.7%,"$65,500",35%,"4,814",28%,59%,45%,44%,83%,87%,,,,
NJ: Gloucester,21%,34%,8.8,26%,78%,8%,6%,39%,7%,73%,0.08,9.3%,"$87,200",21%,336,15%,82%,48%,80%,90%,93%,,,,
NJ: Hudson,18%,24%,8.7,29%,100%,11%,0%,38%,16%,74%,0.25,10.6%,"$77,300",28%,"2,302",27%,37%,53%,32%,88%,86%,,,,
NJ: Hunterdon,18%,28%,9.5,20%,82%,6%,3%,34%,6%,81%,0.05,7.2%,"$113,600",11%,53,14%,78%,55%,84%,92%,95%,,,,
NJ: Mercer,20%,31%,8.9,28%,97%,8%,4%,39%,11%,66%,0.28,7.4%,"$87,600",28%,"1,392",18%,68%,33%,64%,85%,90%,,,,
NJ: Middlesex,25%,26%,9.0,26%,91%,7%,4%,37%,11%,75%,0.26,8.7%,"$95,600",18%,"1,246",20%,70%,47%,64%,88%,90%,,,,
NJ: Monmouth,33%,29%,9.0,23%,90%,7%,5%,37%,8%,78%,0.21,8.8%,"$104,200",16%,939,19%,73%,44%,74%,91%,94%,,,,
NJ: Morris,15%,25%,9.4,21%,94%,6%,4%,35%,6%,82%,0.16,7.8%,"$114,100",13%,318,15%,77%,45%,74%,93%,94%,,,,
NJ: Ocean,26%,28%,8.2,27%,84%,9%,9%,38%,9%,69%,0.15,9.5%,"$78,200",14%,583,19%,82%,43%,80%,84%,92%,,,,
NJ: Passaic,23%,31%,8.7,33%,98%,10%,2%,37%,17%,56%,0.31,12.6%,"$64,400",28%,"1,944",29%,71%,39%,52%,86%,84%,,,,
NJ: Salem,25%,31%,7.9,32%,51%,11%,8%,39%,10%,59%,0.21,9.5%,"$65,600",34%,171,18%,83%,40%,69%,83%,90%,,,,
NJ: Somerset,17%,26%,9.5,21%,89%,5%,3%,36%,7%,80%,0.18,7.8%,"$115,600",15%,214,16%,76%,47%,76%,93%,94%,,,,
NJ: Sussex,23%,26%,9.1,24%,86%,7%,5%,36%,6%,73%,0.07,9.4%,"$92,700",16%,78,14%,83%,59%,84%,91%,95%,,,,
NJ: Union,27%,28%,9.3,31%,99%,7%,1%,39%,16%,65%,0.28,9.9%,"$83,200",24%,"1,976",24%,68%,43%,59%,87%,87%,,,,
NJ: Warren,22%,32%,8.4,24%,82%,9%,8%,38%,9%,71%,0.08,8.5%,"$80,400",19%,76,14%,81%,56%,73%,88%,93%,,,,
NM: Bernalillo,25%,29%,7.8,23%,94%,13%,6%,33%,13%,70%,0.13,8.1%,"$56,600",31%,"6,385",18%,79%,26%,63%,83%,90%,,,,
NM: Catron,63%,30%,3.1,27%,66%,17%,44%,32%,9%,28%,0.10,7.2%,"$27,400",52%,6,11%,65%,23%,87%,58%,93%,,,,
NM: Chaves,25%,36%,6.5,34%,56%,14%,16%,33%,16%,53%,0.07,8.1%,"$51,400",29%,408,15%,85%,16%,68%,73%,79%,,,,
NM: Cibola,23%,39%,4.8,33%,57%,20%,22%,38%,16%,51%,0.09,9.2%,"$42,700",41%,148,20%,77%,25%,72%,64%,81%,,,,
NM: Colfax,23%,34%,6.3,30%,68%,16%,15%,34%,12%,55%,0.07,7.1%,"$43,300",38%,33,15%,73%,18%,68%,71%,88%,,,,
NM: Curry,28%,35%,6.5,30%,71%,15%,13%,32%,13%,62%,0.09,5.5%,"$53,900",31%,207,16%,82%,12%,56%,84%,81%,,,,
NM: De Baca,50%,34%,7.5,30%,83%,13%,8%,34%,14%,54%,0.01,4.9%,"$42,300",13%,4,8%,78%,10%,62%,69%,82%,,,,
NM: Dona Ana,26%,35%,6.2,28%,69%,16%,17%,33%,17%,65%,0.12,8.3%,"$46,500",28%,605,20%,79%,24%,65%,77%,81%,,,,
NM: Eddy,22%,34%,7.7,28%,70%,11%,10%,34%,12%,56%,0.03,6.9%,"$66,200",27%,323,13%,84%,22%,70%,80%,84%,,,,
NM: Grant,27%,33%,6.6,27%,57%,16%,11%,33%,10%,53%,0.15,9.0%,"$43,600",21%,,15%,78%,18%,66%,79%,87%,,,,
NM: Guadalupe,21%,33%,6.8,33%,45%,14%,14%,33%,9%,48%,0.06,6.7%,"$38,900",39%,23,5%,86%,22%,68%,52%,83%,,,,
NM: Harding,0%,33%,2.9,28%,1%,16%,48%,32%,10%,95%,0.17,4.3%,"$39,900",3%,,11%,78%,48%,57%,52%,85%,,,,
NM: Hidalgo,7%,34%,6.0,31%,21%,17%,16%,35%,12%,43%,0.20,5.8%,"$41,900",18%,23,18%,72%,22%,70%,73%,82%,,,,
NM: Lea,32%,36%,8.0,33%,77%,11%,7%,34%,17%,46%,0.05,11.0%,"$66,800",25%,310,14%,83%,20%,68%,81%,76%,,,,
NM: Lincoln,33%,30%,6.9,25%,85%,12%,15%,31%,15%,55%,0.07,8.8%,"$49,100",31%,72,16%,72%,19%,76%,77%,90%,,,,
NM: Los Alamos,33%,24%,8.9,15%,98%,8%,5%,26%,3%,85%,0.02,3.7%,"$111,700",11%,32,6%,77%,10%,73%,92%,98%,,,,
NM: Luna,23%,36%,4.3,35%,64%,21%,24%,34%,18%,34%,0.04,15.9%,"$39,200",28%,171,16%,77%,17%,62%,69%,71%,,,,
NM: McKinley,29%,39%,3.0,30%,39%,23%,34%,38%,26%,48%,0.21,10.3%,"$35,700",45%,536,30%,74%,33%,68%,47%,78%,,,,
NM: Mora,15%,33%,1.8,31%,18%,16%,60%,33%,10%,58%,,8.0%,"$40,600",60%,6,18%,65%,70%,88%,46%,91%,,,,
NM: Otero,26%,31%,6.8,30%,49%,17%,8%,35%,14%,64%,0.13,8.3%,"$46,700",25%,229,12%,82%,20%,66%,83%,87%,,,,
NM: Quay,27%,33%,5.8,31%,70%,16%,18%,35%,13%,43%,0.11,7.4%,"$38,400",42%,41,8%,84%,18%,69%,60%,82%,,,,
NM: Rio Arriba,47%,33%,8.1,29%,53%,14%,0%,35%,15%,51%,0.39,8.1%,"$47,400",42%,238,11%,85%,55%,77%,61%,87%,,,,
NM: Roosevelt,17%,33%,6.1,31%,75%,17%,15%,33%,16%,54%,0.07,6.2%,"$46,400",22%,57,20%,75%,23%,58%,81%,81%,,,,
NM: San Juan,42%,36%,5.7,28%,41%,17%,19%,33%,18%,59%,0.15,10.0%,"$44,300",29%,899,17%,84%,33%,71%,67%,86%,,,,
NM: San Miguel,43%,33%,5.0,32%,55%,18%,23%,35%,12%,60%,0.07,8.3%,"$40,800",36%,134,19%,71%,20%,70%,64%,83%,,,,
NM: Sandoval,42%,31%,6.9,22%,79%,11%,18%,33%,11%,64%,0.15,8.6%,"$72,000",22%,341,15%,77%,45%,80%,86%,91%,,,,
NM: Santa Fe,34%,25%,7.9,21%,73%,11%,9%,29%,16%,59%,0.16,8.3%,"$58,900",32%,484,17%,77%,28%,71%,82%,90%,,,,
NM: Sierra,29%,31%,5.3,29%,87%,21%,15%,35%,14%,53%,0.05,9.2%,"$36,800",29%,59,15%,76%,10%,73%,69%,89%,,,,
NM: Socorro,11%,33%,4.4,31%,45%,19%,27%,35%,15%,50%,0.12,7.1%,"$39,500",34%,89,13%,63%,19%,77%,59%,83%,,,,
NM: Taos,52%,28%,6.7,26%,73%,14%,14%,32%,17%,65%,0.12,11.6%,"$43,200",48%,137,15%,71%,24%,77%,74%,91%,,,,
NM: Torrance,17%,33%,5.5,31%,8%,16%,22%,36%,14%,51%,0.07,9.5%,"$47,300",24%,61,18%,76%,57%,82%,67%,85%,,,,
NM: Union,50%,32%,6.8,30%,71%,15%,11%,33%,15%,39%,0.05,5.1%,"$42,700",29%,6,5%,76%,27%,63%,67%,84%,,,,
NM: Valencia,28%,34%,5.7,28%,37%,13%,27%,34%,16%,54%,0.04,8.2%,"$51,600",26%,694,16%,83%,48%,81%,71%,85%,,,,
NY: Albany,25%,30%,8.3,24%,84%,10%,6%,39%,5%,78%,0.21,7.2%,"$70,600",29%,"1,074",15%,73%,22%,56%,86%,92%,,,,
NY: Allegany,38%,32%,8.0,29%,41%,14%,1%,40%,6%,65%,0.08,8.1%,"$53,400",19%,92,13%,76%,31%,79%,78%,92%,,,,
NY: Bronx,13%,34%,7.6,39%,100%,16%,0%,42%,11%,53%,0.16,16.0%,"$44,900",50%,"8,486",39%,24%,55%,20%,80%,73%,,,,
NY: Broome,36%,32%,7.9,27%,79%,13%,4%,39%,6%,67%,0.14,8.7%,"$52,500",25%,616,16%,79%,15%,65%,84%,90%,,,,
NY: Cattaraugus,27%,33%,7.9,31%,50%,14%,2%,37%,8%,56%,0.17,9.4%,"$51,800",24%,153,14%,81%,29%,72%,76%,90%,,,,
NY: Cayuga,35%,34%,8.5,29%,71%,11%,1%,37%,6%,58%,0.08,7.9%,"$59,300",25%,190,13%,83%,34%,71%,82%,88%,,,,
NY: Chautauqua,15%,34%,7.6,29%,63%,14%,6%,38%,7%,60%,0.18,8.9%,"$50,100",24%,356,15%,80%,20%,69%,80%,89%,,,,
NY: Chemung,21%,33%,7.9,29%,73%,12%,6%,39%,5%,60%,0.08,8.8%,"$54,700",26%,169,13%,82%,17%,67%,82%,90%,,,,
NY: Chenango,16%,34%,8.2,29%,48%,13%,2%,41%,5%,55%,0.06,6.9%,"$52,500",21%,90,13%,80%,34%,75%,82%,88%,,,,
NY: Clinton,14%,36%,8.0,28%,65%,13%,3%,39%,6%,55%,0.10,8.0%,"$59,700",18%,128,14%,80%,21%,68%,82%,88%,,,,
NY: Columbia,27%,30%,8.1,26%,53%,10%,7%,34%,6%,62%,0.13,6.2%,"$66,100",23%,89,16%,75%,36%,73%,82%,91%,,,,
NY: Cortland,33%,32%,8.0,28%,76%,13%,4%,36%,5%,64%,0.07,7.9%,"$60,200",20%,43,13%,77%,31%,66%,79%,91%,,,,
NY: Delaware,16%,32%,7.8,30%,52%,14%,4%,40%,7%,55%,0.09,7.2%,"$54,400",22%,87,16%,75%,33%,76%,79%,89%,,,,
NY: Dutchess,17%,33%,8.6,26%,70%,9%,6%,40%,6%,67%,0.12,7.7%,"$79,300",21%,599,20%,75%,44%,68%,90%,91%,,,,
NY: Erie,22%,32%,8.1,25%,93%,11%,6%,38%,5%,74%,0.29,9.5%,"$59,600",29%,"3,931",15%,80%,24%,65%,84%,92%,,,,
NY: Essex,25%,31%,8.6,28%,100%,11%,1%,36%,6%,56%,0.14,8.1%,"$57,100",19%,64,13%,77%,31%,76%,81%,90%,,,,
NY: Franklin,29%,39%,7.4,31%,58%,14%,8%,41%,8%,50%,0.48,8.2%,"$58,700",25%,94,14%,78%,23%,72%,79%,88%,,,,
NY: Fulton,14%,32%,7.9,30%,66%,13%,4%,43%,6%,59%,0.07,8.6%,"$55,400",32%,110,13%,82%,33%,70%,80%,88%,,,,
NY: Genesee,21%,33%,8.6,28%,56%,11%,2%,38%,5%,64%,0.11,7.4%,"$62,600",18%,130,12%,82%,33%,72%,83%,92%,,,,
NY: Greene,21%,34%,8.4,30%,62%,12%,2%,40%,6%,52%,0.08,8.3%,"$60,200",17%,106,18%,79%,46%,77%,74%,87%,,,,
NY: Hamilton,0%,33%,7.1,30%,100%,13%,12%,35%,8%,61%,,7.9%,"$56,300",15%,4,14%,78%,40%,85%,80%,80%,,,,
NY: Herkimer,16%,34%,8.0,28%,57%,13%,4%,40%,6%,60%,0.07,8.2%,"$59,900",18%,126,11%,81%,32%,74%,83%,91%,,,,
NY: Jefferson,42%,34%,7.6,30%,52%,14%,6%,38%,6%,64%,0.08,8.7%,"$57,600",23%,250,13%,78%,20%,56%,86%,91%,,,,
NY: Kings,10%,26%,8.2,30%,100%,14%,0%,41%,9%,70%,0.30,12.5%,"$70,400",30%,"15,395",34%,18%,62%,30%,83%,83%,,,,
NY: Lewis,56%,37%,8.1,29%,39%,12%,4%,37%,6%,59%,0.07,7.7%,"$57,900",15%,36,13%,78%,32%,81%,81%,91%,,,,
NY: Livingston,15%,32%,8.5,27%,69%,10%,4%,36%,5%,63%,0.09,7.1%,"$60,900",22%,79,15%,80%,40%,76%,85%,92%,,,,
NY: Madison,14%,34%,8.4,26%,60%,10%,6%,37%,5%,61%,0.06,7.8%,"$64,400",17%,109,12%,80%,39%,78%,83%,93%,,,,
NY: Monroe,20%,32%,8.0,28%,85%,11%,7%,38%,5%,75%,0.26,8.6%,"$61,400",33%,"2,443",16%,79%,18%,63%,86%,91%,,,,
NY: Montgomery,11%,36%,6.2,32%,52%,14%,18%,39%,6%,60%,0.20,8.8%,"$52,500",28%,71,16%,79%,38%,67%,79%,88%,,,,
NY: Nassau,17%,27%,9.9,24%,97%,5%,0%,39%,6%,77%,0.28,8.4%,"$122,700",16%,"1,949",20%,66%,47%,81%,91%,92%,,,,
NY: New York,9%,22%,8.4,22%,100%,13%,0%,38%,6%,85%,0.27,9.5%,"$87,700",35%,"9,634",24%,6%,68%,24%,87%,88%,,,,
NY: Niagara,11%,32%,8.0,27%,83%,12%,5%,40%,5%,69%,0.20,10.4%,"$55,000",26%,838,13%,83%,32%,72%,83%,92%,,,,
NY: Oneida,35%,32%,7.9,29%,76%,12%,6%,41%,6%,64%,0.23,8.1%,"$58,700",25%,658,14%,80%,21%,69%,84%,89%,,,,
NY: Onondaga,29%,32%,8.1,28%,90%,11%,6%,37%,6%,71%,0.23,8.4%,"$64,000",28%,"1,485",15%,78%,17%,65%,82%,91%,,,,
NY: Ontario,22%,32%,8.7,25%,72%,9%,3%,36%,5%,73%,0.13,7.3%,"$62,800",23%,165,12%,81%,35%,73%,87%,93%,,,,
NY: Orange,26%,32%,8.5,30%,78%,9%,6%,40%,6%,64%,0.13,8.4%,"$78,700",17%,921,21%,74%,45%,68%,84%,90%,,,,
NY: Orleans,13%,32%,8.2,31%,58%,12%,4%,40%,7%,52%,0.07,8.4%,"$57,300",24%,72,14%,78%,40%,75%,82%,88%,,,,
NY: Oswego,33%,38%,8.0,29%,53%,13%,2%,40%,6%,58%,0.05,8.9%,"$58,400",26%,254,15%,81%,37%,73%,87%,89%,,,,
NY: Otsego,35%,30%,7.5,26%,46%,12%,11%,36%,6%,68%,0.08,7.2%,"$58,400",21%,90,16%,76%,29%,72%,81%,93%,,,,
NY: Putnam,15%,27%,9.0,23%,71%,6%,7%,37%,5%,69%,0.03,7.6%,"$104,300",15%,47,17%,75%,60%,82%,93%,93%,,,,
NY: Queens,18%,25%,9.0,32%,96%,10%,0%,40%,13%,67%,0.25,12.5%,"$78,800",25%,"13,850",31%,32%,62%,45%,86%,83%,,,,
NY: Rensselaer,21%,31%,8.3,26%,60%,11%,4%,38%,5%,72%,0.19,7.0%,"$71,500",24%,488,14%,79%,30%,63%,87%,92%,,,,
NY: Richmond,16%,30%,9.2,30%,95%,9%,0%,44%,6%,70%,0.16,10.6%,"$81,000",21%,"2,824",24%,56%,52%,69%,84%,88%,,,,
NY: Rockland,4%,28%,8.7,26%,84%,9%,4%,39%,7%,65%,0.16,8.1%,"$94,900",13%,395,26%,71%,42%,68%,85%,89%,,,,
NY: Saratoga,19%,30%,8.9,23%,78%,8%,4%,35%,4%,78%,0.07,6.7%,"$83,400",15%,232,11%,82%,35%,72%,90%,94%,,,,
NY: Schenectady,32%,34%,8.6,26%,86%,10%,3%,39%,6%,68%,0.18,8.1%,"$66,300",28%,664,14%,78%,33%,64%,86%,91%,,,,
NY: Schoharie,3%,35%,8.5,28%,14%,12%,1%,35%,6%,62%,0.04,7.1%,"$59,700",23%,28,12%,78%,47%,75%,78%,91%,,,,
NY: Schuyler,22%,33%,8.2,29%,44%,14%,0%,36%,6%,57%,0.04,8.6%,"$54,300",11%,13,15%,77%,43%,75%,81%,91%,,,,
NY: Seneca,27%,31%,8.4,29%,58%,12%,2%,40%,6%,51%,0.05,8.2%,"$56,900",13%,71,11%,79%,28%,73%,82%,85%,,,,
NY: St. Lawrence,20%,35%,7.3,30%,42%,14%,7%,38%,6%,57%,0.15,8.2%,"$51,500",19%,156,15%,77%,28%,72%,82%,89%,,,,
NY: Steuben,30%,33%,8.0,28%,44%,12%,4%,35%,6%,63%,0.08,8.2%,"$54,800",23%,174,11%,79%,27%,73%,82%,91%,,,,
NY: Suffolk,22%,27%,9.3,27%,86%,6%,4%,38%,6%,69%,0.20,8.5%,"$109,100",18%,"1,857",22%,78%,44%,81%,89%,90%,,,,
NY: Sullivan,24%,34%,8.3,31%,42%,12%,3%,42%,8%,56%,0.11,8.8%,"$63,900",25%,197,17%,81%,37%,69%,83%,87%,,,,
NY: Tioga,13%,31%,8.7,27%,49%,11%,1%,40%,5%,63%,0.08,7.8%,"$62,400",19%,57,11%,83%,34%,78%,86%,92%,,,,
NY: Tompkins,26%,27%,8.0,24%,77%,12%,5%,33%,5%,82%,0.08,6.2%,"$65,300",29%,128,20%,58%,22%,54%,86%,94%,,,,
NY: Ulster,19%,31%,8.1,27%,71%,11%,6%,37%,7%,65%,0.06,8.0%,"$66,100",24%,313,20%,75%,39%,69%,89%,91%,,,,
NY: Warren,22%,33%,8.2,26%,94%,11%,5%,35%,5%,68%,0.05,8.4%,"$67,400",24%,90,14%,82%,30%,71%,84%,92%,,,,
NY: Washington,17%,32%,8.5,28%,58%,11%,2%,38%,6%,55%,0.07,7.2%,"$61,000",22%,88,14%,83%,40%,73%,82%,88%,,,,
NY: Wayne,21%,32%,8.6,28%,54%,11%,2%,40%,5%,63%,0.08,7.4%,"$62,300",19%,163,11%,82%,39%,78%,84%,90%,,,,
NY: Westchester,23%,26%,9.3,25%,98%,8%,1%,37%,7%,74%,0.24,8.4%,"$103,300",20%,"2,149",23%,56%,42%,61%,88%,89%,,,,
NY: Wyoming,32%,33%,8.4,28%,55%,10%,4%,38%,5%,57%,0.04,7.5%,"$59,600",17%,46,10%,82%,38%,77%,81%,90%,,,,
NY: Yates,30%,30%,8.9,28%,43%,10%,0%,33%,10%,51%,0.03,6.5%,"$57,100",23%,19,15%,71%,31%,76%,75%,86%,,,,
NC: Alamance,32%,38%,7.1,30%,73%,14%,11%,38%,18%,62%,0.12,7.2%,"$53,200",28%,602,16%,86%,34%,67%,81%,87%,,,,
NC: Alexander,20%,33%,7.3,29%,19%,14%,8%,36%,16%,46%,0.04,7.4%,"$53,500",24%,72,12%,83%,33%,80%,79%,83%,,,,
NC: Alleghany,25%,35%,7.0,32%,17%,19%,2%,36%,23%,51%,0.03,7.3%,"$39,900",22%,14,13%,81%,31%,75%,78%,79%,,,,
NC: Anson,33%,40%,7.6,34%,18%,15%,5%,42%,16%,47%,0.06,7.7%,"$40,800",44%,92,17%,83%,46%,67%,79%,81%,,,,
NC: Ashe,16%,34%,6.8,27%,49%,15%,11%,35%,19%,65%,0.01,6.2%,"$44,500",25%,22,9%,79%,39%,79%,75%,86%,,,,
NC: Avery,8%,35%,7.7,29%,100%,16%,0%,36%,22%,56%,0.06,6.3%,"$50,800",17%,30,15%,78%,25%,78%,75%,86%,,,,
NC: Beaufort,15%,37%,6.9,29%,45%,16%,9%,39%,17%,62%,0.08,6.3%,"$50,300",36%,140,15%,86%,33%,72%,74%,88%,,,,
NC: Bertie,21%,42%,5.3,35%,26%,16%,24%,43%,15%,47%,0.05,6.4%,"$41,900",51%,34,21%,80%,34%,71%,61%,79%,,,,
NC: Bladen,27%,39%,6.8,33%,34%,17%,7%,39%,19%,55%,0.09,7.2%,"$43,700",37%,78,18%,83%,38%,72%,77%,83%,,,,
NC: Brunswick,31%,32%,7.4,25%,71%,14%,9%,35%,16%,61%,0.04,8.8%,"$64,400",27%,162,16%,80%,31%,81%,88%,92%,,,,
NC: Buncombe,29%,28%,7.2,23%,68%,14%,10%,31%,17%,73%,0.07,8.3%,"$66,200",22%,666,15%,78%,19%,63%,82%,92%,,,,
NC: Burke,20%,36%,6.6,29%,53%,16%,10%,37%,19%,54%,0.12,7.2%,"$48,700",25%,156,13%,86%,26%,75%,75%,82%,,,,
NC: Cabarrus,25%,36%,7.9,25%,68%,11%,8%,35%,14%,70%,0.08,7.0%,"$79,700",21%,229,13%,80%,45%,73%,89%,91%,,,,
NC: Caldwell,22%,36%,6.3,30%,62%,16%,15%,37%,19%,55%,0.07,7.9%,"$50,200",24%,137,13%,83%,34%,73%,81%,81%,,,,
NC: Camden,17%,32%,8.5,26%,37%,12%,1%,36%,13%,57%,0.01,5.5%,"$72,100",27%,7,12%,83%,45%,77%,90%,87%,,,,
NC: Carteret,20%,33%,7.3,25%,83%,14%,8%,35%,16%,71%,0.04,6.2%,"$63,500",20%,,13%,84%,31%,72%,87%,92%,,,,
NC: Caswell,34%,37%,7.6,31%,27%,15%,3%,38%,16%,54%,0.03,7.8%,"$48,100",29%,59,13%,86%,48%,74%,69%,82%,,,,
NC: Catawba,23%,36%,7.2,28%,59%,14%,10%,38%,18%,62%,0.07,8.0%,"$52,700",26%,413,13%,84%,25%,71%,84%,86%,,,,
NC: Chatham,22%,31%,8.1,23%,57%,12%,5%,34%,16%,63%,0.15,5.4%,"$74,700",22%,116,13%,76%,48%,77%,81%,89%,,,,
NC: Cherokee,29%,33%,7.3,28%,99%,17%,3%,38%,20%,62%,0.04,7.9%,"$44,400",25%,58,12%,78%,29%,82%,76%,89%,,,,
NC: Chowan,29%,38%,6.4,30%,27%,15%,16%,38%,14%,54%,0.01,6.1%,"$45,400",40%,66,16%,85%,44%,65%,72%,84%,,,,
NC: Clay,10%,33%,7.7,27%,98%,15%,1%,36%,20%,59%,0.02,7.4%,"$44,100",15%,26,17%,75%,30%,73%,75%,88%,,,,
NC: Cleveland,22%,37%,7.0,30%,50%,16%,6%,39%,17%,57%,0.07,7.8%,"$49,000",37%,174,15%,84%,34%,68%,70%,86%,,,,
NC: Columbus,21%,38%,7.2,34%,38%,17%,4%,41%,21%,49%,0.09,8.2%,"$40,700",32%,216,16%,86%,44%,72%,71%,84%,,,,
NC: Craven,22%,34%,7.1,28%,73%,15%,9%,39%,16%,66%,0.06,6.6%,"$54,000",26%,257,15%,79%,24%,65%,81%,89%,,,,
NC: Cumberland,23%,35%,6.4,31%,71%,16%,14%,42%,16%,71%,0.07,9.5%,"$49,200",36%,"1,790",17%,79%,25%,51%,86%,92%,,,,
NC: Currituck,12%,32%,8.5,24%,69%,12%,0%,35%,15%,71%,0.02,6.3%,"$73,400",20%,43,15%,83%,60%,84%,84%,91%,,,,
NC: Dare,12%,31%,7.6,22%,67%,12%,9%,33%,16%,70%,0.04,9.8%,"$73,000",20%,88,16%,77%,23%,76%,93%,94%,,,,
NC: Davidson,21%,38%,7.0,29%,56%,15%,10%,36%,18%,60%,0.17,7.1%,"$56,100",25%,296,13%,82%,34%,72%,83%,85%,,,,
