County,Alcohol-Impaired Driving Deaths %,Adult Obesity %,Food Environment Index (0-10),Physically Inactive Adults %,Access to Exercise Opportunities %,Food Insecure %,Limited Access to Healthy Foods %,Insufficient Sleep % (Avg Hours < 7),Uninsured Adults % (Age < 65),Some College % (Adults 25-44),School Segregation Index,Unemployment % (Age >= 16),Median Household Income,Children Single-Parent Households %,Annual Average Violent Crimes,Severe Housing Problems %,Drive Alone to Work %,Drive Alone Long Commute % (Minutes > 30),Homeowners %,Broadband Internet Access %,High School Completion % (Adults >= 25),,,,
AR: Izard,50%,35%,7.2,32%,46%,19%,0%,35%,12%,51%,0.09,8.4%,"$41,800",17%,30,10%,79%,27%,78%,49%,82%,,,,
AR: Jackson,30%,39%,5.2,39%,31%,22%,14%,38%,11%,47%,0.12,7.1%,"$40,800",34%,120,14%,83%,30%,70%,71%,83%,,,,
AR: Jefferson,16%,42%,6.5,37%,49%,17%,11%,40%,9%,48%,0.35,8.0%,"$40,600",50%,719,17%,88%,21%,62%,67%,87%,,,,
AR: Johnson,9%,37%,5.7,38%,41%,19%,13%,37%,17%,40%,0.13,6.3%,"$39,400",25%,64,13%,79%,19%,72%,65%,80%,,,,
AR: Lafayette,33%,40%,6,39%,10%,19%,11%,39%,14%,49%,0.05,7.6%,"$40,000",50%,13,13%,80%,47%,78%,64%,79%,,,,
AR: Lawrence,22%,38%,5.6,34%,30%,18%,17%,36%,10%,58%,0.06,6.1%,"$41,200",25%,38,10%,85%,43%,69%,75%,84%,,,,
AR: Lee,44%,42%,5.4,39%,41%,18%,20%,41%,11%,37%,0.01,7.5%,"$32,500",42%,29,15%,75%,31%,58%,66%,78%,,,,
AR: Lincoln,27%,41%,5.9,36%,33%,16%,18%,40%,11%,28%,0.01,6.0%,"$47,900",17%,22,13%,86%,41%,78%,54%,79%,,,,
AR: Little River,44%,39%,7.5,35%,46%,16%,1%,38%,11%,53%,0.02,6.4%,"$47,100",39%,18,7%,86%,47%,78%,73%,90%,,,,
AR: Logan,53%,38%,6.4,35%,44%,19%,9%,37%,12%,52%,0.05,6.6%,"$43,600",21%,82,12%,78%,40%,75%,72%,87%,,,,
AR: Lonoke,25%,36%,7.6,30%,44%,14%,5%,35%,10%,57%,0.08,5.5%,"$59,600",24%,244,12%,85%,49%,71%,83%,90%,,,,
AR: Madison ,22%,38%,6.6,35%,45%,16%,11%,36%,17%,39%,0.04,3.9%,"$45,100",23%,30,12%,88%,56%,80%,73%,85%,,,,
AR: Marion,13%,36%,7,32%,29%,18%,3%,34%,13%,55%,0.04,6.4%,"$39,900",21%,56,15%,78%,35%,80%,79%,86%,,,,
AR: Miller,24%,39%,6.2,34%,66%,17%,12%,38%,11%,56%,0.26,6.9%,"$43,600",42%,235,15%,85%,22%,66%,79%,86%,,,,
AR: Mississippi,32%,41%,6.1,39%,56%,20%,9%,41%,12%,46%,0.33,9.0%,"$47,900",40%,432,15%,85%,24%,58%,77%,82%,,,,
AR: Monroe,29%,42%,5.5,39%,39%,20%,15%,40%,11%,42%,0.03,6.7%,"$35,800",54%,28,12%,82%,34%,62%,68%,79%,,,,
AR: Montgomery,38%,37%,5.9,35%,97%,20%,11%,35%,17%,44%,0.06,6.8%,"$42,800",20%,20,12%,79%,40%,84%,69%,83%,,,,
AR: Nevada,13%,39%,4.6,35%,31%,18%,27%,39%,10%,42%,0.04,5.9%,"$41,900",30%,17,14%,79%,47%,69%,67%,90%,,,,
